,Contra Costa
0,C2000464
1,MSC2000464
2,MSC2000407
3,CIVMSC2001019
4,C1802555
5,MSC1700093
6,PS190222
7,MSC1800975
8,C1801740
9,C18-00931
10,C1800931
11,C1800503
12,C1702493
13,C1800359
14,C1701709
15,MSC1701709
16,C1800359
17,C1402092
18,C1701709
19,C1701709
20,C1701816
21,C1701266
22,C1700806
23,P1600221
24,P1600221
25,P1600221
26,CIVMSN170098
27,C1602351
28,C1601118
29,MSC1602147
30,MSC1602147
31,C1601426
32,MSC1601426
33,C1600637
34,C1501556
35,C1501556
36,C1501239
37,C1600601
38,MSC1600601
39,C1502219
40,MSC1500870
41,C1501511
42,MSC1501401
43,FCS045100
44,C1102757
45,C1401875
46,C1402303
47,C1400444
48,CIVMSC1300844
49,MSC1300807
50,MSC1301784
51,C1301924
52,C1301714
53,MSC1100104
54,MSN121625
55,CIVMSC1202803
56,C1101372
57,CIVMSC1201846
58,C1201573
59,C1200505
60,C1200414
61,C1200414
62,C1102757 (Motion)
63,C1102549
64,MSC1000279
65,C1100529
66,C1102461
67,"CIVMSC0903652, CIVMSC1101622, CIVMSC1102367; CIVMSC0903652"
68,C1100745
69,MSC1101556
70,C1100811
71,MSC1101550
72,C1100581
73,CIVMSC1100281
74,C1003239
75,MSC0903161
76,C0802943
77,C1002931
78,C1000933
79,MSC0105094
80,C1001277
81,C0902473
82,C0902473
83,C0801856
84,37200900096716CUBTCTL
85,CIVMSC0901614
86,C0901041
87,C0800531
88,C0802932
89,C0900196
90,C0802940
91,C0800253
92,C0801066
93,C0800356
94,C0700460
95,C0602217
96,CIVMSC0700601
97,C0600792
98,07CV00554JSW
99,C0600792
100,C0602073
101,C0602067
102,C0602067
103,C0501991
104,C0501991
105,C0602067
106,C0501647
107,C0601499
108,C0601059
109,C0600865
110,C04C2187
111,C0500065
112,C0500971
113,C0500971
114,NO30938
115,C0402185
116,C0301675
117,MSC0302637
118,N030938
119,N021326
120,C0203350
121,MSC0203509
122,C0203350
123,C0100428
124,C0105317
125,C0004213
126,C0004213
127,C0001529
128,DC03900
129,C0004213
130,C0004125
131,C9904826
132,9903157
