,Kern
0,BCV20100499
1,BCV19103349
2,BCV19102711
3,BCV19102711
4,BPB18002681-BCV18101723
5,BCV19101195
6,BCV18100550
7,BCV19101195
8,BCV1500050
9,BCV18101506
10,BCV18100901
11,BCV18100901
12,BCV17102668
13,BCV17102855
14,BCV16101067
15,BCV16101866
16,BCV16102861
17,BCV16102855
18,TCL17000064
19,S1500CV283579
20,BCV16101067DRL
21,BCV16100288DRL
22,S1500CL289245LSE
23,BCV15101212
24,BCV15101507
25,S1500CV282158
26,S1500CV281230DRL
27,S1500CV279824DRL
28,S1500CV281341SPC
29,S1500CV283143SPC
30,S1500CV282158
31,S1500CV281365SPC
32,S1500CV28199SPC
33,S1500CV281456DRL
34,S1500CV279648SPC
35,S1500CV279484 DRL
36,S1500CV280128
37,S1500CV279111DRL
38,S1500CV278292 SPC
39,S1500CV276270 WDP
40,S1500CV274612SPC
41,S1500CV273823SPC
42,S1500CV274320SPC
43,S1500CV274419
44,S1500CV269913WDP
45,S1500CV264802SPC
46,S1500CV257501
47,S1500CV257501
48,S1500CV267425DRL
49,S1500CV265066
50,S1500CV261039WDP
51,S1500CV257485SPC
52,S1500CV261105SPC
53,R1502FL4919
54,S1500CV255622SPC
55,S1500CV252364SPC
56,192082LFE
57,S1500CV247925SPC
58,S1500CV0000245966RJA
59,S1500CV245966RJA
60,244247RJA
61,"S1500CV248689,SPC"
62,248689SPC
63,248897JES
64,248187RJA
65,245926SPC
66,244247RJA
67,246292RJA
68,245926SPC
69,243396SPC
70,S1500CV0000241351
71,240282RJA
