,San Diego
0,37201900069067
1,37202000027032
2,37201900055486
3,37202000023034
4,37201900058762
5,3720200001239
6,37202000018935
7,37201900069067
8,37201900063808
9,37202000001953
10,37202000005592
11,3720200001239
12,37201900069067
13,37201900064665
14,37201900066948
15,37201900049839
16,37201900063808
17,37201500015685
18,19DV03142N
19,19FDV03142N
20,37201900048285
21,37201900064665
22,37201900056905
23,37201900052147
24,37201900049839
25,37201900053318
26,37201800016874
27,37201900048285
28,37201800042139
29,37201900044562
30,37201800004940
31,37201900031883
32,37201900035422
33,37201900014334
34,37201900014334
35,37201900027557 - 37201900029612
36,37201700016861
37,L37201900031852
38,37201900010033
39,37201900032336
40,37201900035901
41,37201900012582
42,37201700016861
43,37201900035422
44,37201900019279
45,37201700016311
46,37201700061311
47,37201800042107
48,37201700042515
49,37201800044838
50,37201500032410
51,37201900002457
52,37201800061451
53,37201800056374
54,37201900002749
55,37201800056442
56,37201800043082
57,37201500022082
58,37201700016861
59,37-2018-00019749
60,37201800044369
61,37201700046229
62,37201800057391
63,37201800056162
64,37201800056374
65,37-2017-00049836
66,37201800019749
67,37201800056442
68,37201800056374
69,37201800009416
70,37201700016861
71,37201800047436
72,37201800043082
73,37201700015622
74,37201700040822
75,37201800043868
76,37201800016403
77,37201700032882
78,37201800023499
79,37201800020621
80,37201800024153
81,37201800006622
82,37201800032690
83,37201800018902
84,37201800033348
85,37201700036464
86,37201800023733
87,37201800018084
88,37201700021938
89,37201800010339
90,37201800018772
91,37201800023295
92,37201800015520
93,37201700031074
94,37201800016446
95,37201700044317
96,37201700050487
97,37201800005119
98,37201500033976
99,37201800008696
100,37201800005119
101,37201700016426
102,3720170040822
103,37201700037528
104,30201700036344
105,37201700039440
106,37201700047358
107,37201700023321
108,37201500001677
109,37201700029991
110,37201700020561
111,37201600045054
112,37201600045054
113,37201600044949
114,37201600022478
115,37201500043052
116,37201700024747
117,37201700016426
118,37201700003178
119,37201700019044
120,37201600013221
121,3720170006448
122,37201700020544
123,37201700020561
124,37201700016019
125,37201700005106
126,37201700015333
127,37201600041451CUPONC
128,37201600039045CUDFCTL
129,37201700012323CUMCCTL
130,37201600025586CUBCCTL
131,37201700004199CUCONC
132,37201600038309
133,37201600042327
134,37201700005808
135,37201600045054
136,37201600022907
137,37201600045885
138,37201600045054
139,37201600020861
140,37201600039045CUDFCTL
141,37201500031707CUBCCTL
142,37201600039144
143,San Diego
144,37201600035118
145,37201500040237CUDFCTL
146,37201600016419CUPONC
147,37201600030822CUMCCTL
148,30201600864466
149,37201500040237CUDFCTL
150,37201500037026CUMCCTL
151,37201600008782CUOECTL
152,37201600012476CUNPCTL
153,37201600019863CUNPJC
154,37201600011637CUOECTL
155,37201600022400CUNPNC
156,37201500040237CUDFCTL
157,PN16579
158,37201600008694CUPNCTL
159,37201600015246CUBTNC
160,37201500028262CUBTCTL
161,37201500023816CUNPCTL
162,37201500003893CUOECTL
163,37201400001790CUBCCTL
164,37201600004518CUFRCTL
165,37201400025070CUMCCTL
166,372101600011637CUOECTL
167,37201600004859CUBTCTL
168,37201600004518CUFRCTL
169,37201600004518CUFRCTL
170,37201600007297CUBCCTL
171,37201600003297CUICCTL
172,37201600001440CUFRCTL
173,37201400084601CUFRCTL
174,37201400006034CUDFCTL
175,37201400028037CUPOCTL
176,37201600006763CUMCCTL
177,37201400028725CUFRCTL
178,37201400027302CUBCCTL
179,37201400035095CUBBCCTL
180,37201500018608CLMCCTL
181,37201400043886CUFRCTL
182,ES019019
183,37201400043886CUFRCTL
184,37201300037902CUMCCTL
185,37200900083805CUBTCTL
186,37201300037902CUMCCTL
187,37201500029425CUORNC
188,37201400040032CUBCNC
189,37201500018943CUOECTL
190,37201400027768CUMCCTL
191,37201400026777CUEICTL
192,37201400035095CUBCCTL
193,37201500037567CUCRCTL
194,37201300069815CUORCTL
195,37200900083805CUBTCTL
196,37201500032326CUNPNC
197,37201500024805CUDFCTL
198,37201500023541CUFRNC
199,37201500038502CUPONC
200,37200900083805CUBTCTL
201,37201500036285CUMCCTL
202,37201500018608CLMCCTL
203,37201500023541CUFRNC
204,37201500033280CUDFCTL
205,37J201300077144PRTRCTL
206,37201400019622CUBTCTL
207,37201500026754CUWTCTL
208,37201500011951CUMCCTL
209,37201400081874
210,37201400035095
211,37201500005557CUBCNC
212,37201300079377
213,3720140016895
214,37201400007373
215,37201400025070
216,37201400015648
217,37201500008528
218,37201400005531
219,DN130272
220,37201300070243
221,372014000060334
222,372014000825646
223,37201400003404
224,37201400023172CUOECTL
225,37201300070243CUMCCTL
226,37201400033843CUDFNC
227,37201400032480CUFRNC
228,37201400016868CUCRCTL
229,37201519227CUMCCTL
230,37201400035198CUCDFCTL
231,37201500012592CUCONC
232,37201400012506CUMCCTL
233,37201200091137CUMCCTL
234,37201400009977CUMCCTL
235,37201300077144PRTRCTL
236,37201400036612CUDFCTL
237,37201400027302CUBCCTL
238,37201500006142CUPOCTL
239,37201400023255CLATCTL
240,37201400032192CUMCCTL
241,37201400035095CUBCCTL
242,37201500011038CUBCCTL
243,37201500004028CUWTCTL
244,37201400025797CUMCCTL
245,37201400006502 CUORNC
246,37201400009456CUNPCTL
247,37201400039418
248,37201500003013
249,37201500004314CUMCCTL
250,37201500004314CUMCCTL
251,37201400027683CUMCCTL
252,37201500003178CUNPCTL
253,37201400039942CUMCCTL
254,37201400009456CUNPCTL
255,37201400041169CUHRNC
256,37201300079377CUBCCTL
257,37201400034347CLDFNC
258,37201400009873CUBTCTL
259,3720147373CLCLNC
260,BS147795
261,37201337902
262,37201200090423CUCDCTL
263,37201400007759CUDFCTL
264,37201300079138CUBCNC
265,37201400007175CUBTCTL
266,372013000747745CUPOCTL
267,37201300059766 CUBTCTL
268,37201300029158 CUORNC
269,37201400000583 CUFRNC
270,37201300080174 CUORCTL
271,37201300077395 CUFRCTL
272,37201300051163 CUNPCTL
273,37201300078043 CUFRNC
274,37201300068387
275,37201300066935 CUEICTL
276,37201300054905 CUNPNC
277,37201300079125 CUMCCTL
278,37201400084826 CUBCCTL
279,37201300077514 CUBTCTL
280,37201300066088 CUTTCTL
281,37201300076728 CUFRCTL
282,37201300076750 CUFRCTL
283,37201300072398 CUFRCTL
284,37201300067848 CUBTCTL
285,37201300061001 CUDFNC
286,37201100100322 CUDFCTL
287,37201300064939 CUPOCTL
288,37201300067848 CUBTCTL
289,37201300075076 CUWMCTL
290,37201100100322 CUDFCTL
291,37201300054876 CUWMNC
292,37201300053062 CUNPCTL
293,37201300050258 CUSLCTL
294,37201300056749 CUTTCTL
295,37201300041692 CUBCCTL
296,37201300030537 CUPTCTL
297,37201300032302 CUNPCTL
298,313cv01308LWMC
299,37201300052322 CUDFCTL
300,37201300028928 CLPACTL
301,37201300041628 CUFRCTL
302,37201300041628 CUFRCTL
303,37201200102084 CUCLCTL
304,37201200102850 CUNPCTL
305,37201200087717 CUCOCTL
306,37201200102850 CUNPCTL
307,37201000104874
308,31201200095104 CUPNCTL
309,37201200101620 CUNPCTL
310,372012104111 CUMCCTL
311,13cv0312 LAB;
312,13cv00311 LAB
313,13cv0090 WQH
314,12CV2860W MDD
315,37201200086613 CUOECTL
316,37201200058722 CUCRNC
317,37201200101257 CUPOCTL
318,37201200096715 CUMMCTL
319,37201200103313 CUPOCTL
320,37201200097136 CUBTCTL
321,37201100054028 CUBCNC
322,37201200096715 CUMMCTL
323,37201100070474 CUDFEC
324,37201200095104 CUPNCTL
325,37201200104806 CUDFCTL
326,37201200076752CUCOSC
327,37201200055460 CUCRNC
328,37201200057077 CUBCNC
329,37201200103146 CUOECTL
330,37201200078397 CUWTSC
331,37201200055763 CUDFNC
332,37201200055189 CUPONC
333,37201200101269 CLPOCTL
334,37201200100686 CUDFCTL
335,37201200053538 CUORNC
336,37201200090260 CUBTCTL
337,12cv1489MMA(JMA)
338,37201200095110CUBTCTL
339,37201200092205CUMCCTL; related to 37201200093347CUMCCTL
340,37201100088273 CUMCCTL
341,37201200097718 CUPOCTL
342,37201200094054 CUBTCTL
343,312cv01223WQHBLM
344,37201200097681CUWTCTL
345,37201200095110CUBTCTL
346,37201100096603 CUBTCTL
347,37201100101028CUBCCTL
348,3720120092273CUDFCTL
349,37201100100936 CUBTL (1009836CUBTL?)
350,37201200096203CLPOCTL
351,3720120094054CUBTCTL
352,37201200095507CUDFCTL
353,37201200090505CUBTCTL
354,37201100098980CUPOCTL
355,37201100071658CUBCEC
356,37201200094127CUFRCTL
357,37201100088273CUMCCTL
358,37201200093347CUMCCTL
359,37201100096603CUBTCTL
360,37201100059139CUNPNC
361,37201100101110CUWTNC
362,37201100101110CUWTNC
363,37201200090932CUBTCTL
364,37201100052050CUPONC
365,37201100100480CUBCCTL
366,37201100099949CUFRCTL
367,37201100071384CUOREC
368,37201100054272CUPNCTL
369,37201100083862CUOECTL
370,37201100098413CUDFCTL
371,37201100099949CUFRCTL
372,37201000104202CUBCCTL
373,37201100050243CUDFCTL
374,37201000091408CUBCCTL
375,37201100057518CLBTNC
376,37201100094203CUBTCTL
377,37200900104923CUCOCTL
378,37201100091876CUWTCTL
379,37201000097967CUBTCTL
380,37201100056590CUNPNC
381,37200900104923CUCOCTL
382,37201100089591CUMCCTL
383,37201100094590CUFRCTL
384,37201100083862CUOECTL
385,37201100091919CUNPCTL
386,37201000099343CUOECTL
387,37201100089213CUBTCTL
388,37201100086876CLORCTL
389,37201100089213CUBTCTL
390,37201100086445CUWECTL
391,37201100088843CUBTCTL
392,372008 00098694CUFRCTL
393,37201100066666CUWEEC
394,37201100053534CUPONC
395,37201000054042CUEINC
396,37201100052269CUMCNC
397,37201100086445CUWECTL
398,37201000092746CUCRCTL
399,37201000104427CUMCCTL
400,37201000301424CUWMCTL
401,37201000061990CUMCNC
402,37200800093885CUBTCTL
403,37200900056400CUMCNC
404,3720110005243CUDFCTL
405,37201000095920CUPOCTL
406,37201000059987CUORNC
407,37201000095920CUPOCTL
408,37201000103251CUORCTL
409,37201000100031CUDFCTL
410,37201000095925CUWTCTL
411,3720100097199CUPOCTL
412,37201000061663CUPONC
413,37201000100098CUFRCTL
414,37201000056894CUBCNC
415,37201000091914CUDFCTL
416,37201000095195CUWTCTL
417,37200900091932CUDFCTL
418,37201000069304CUNPEC
419,37200800090684CUBTCTL
420,37201000086482CUMCCTL
421,37200900104805
422,37200900061695CUBCNC
423,"37200900100904CUSLCTL, and 37200900103101CUBTCTL"
424,37201000068760CUCREC
425,37200900091932CUDFCTL
426,37200800090684CUBTCTL
427,37200900097186CUBCCTL
428,37200800090739CUBTCL
429,37200900100563CUFRCTL
430,37200900100539CUBCCTL
431,37201000065408CUNPCTL
432,37201000075337CUPOSC
433,37200800090621CUDFCTL
434,37201000051507CUFRNC
435,37201000051750CUPONC
436,GIN056161
437,37200900062227CUDFNC
438,37200900104458CUDFCTL
439,GIS25765
440,3700900098470CUPNCTL
441,37200800090621CUDFCTL
442,37200900097399CUNPCTL
443,37200900102785CUDFCTL
444,GIC858894
445,GIC867858
446,37200900100493CUDFCTL
447,37200700051464CUMCNC
448,37200700066123CUBTCTL
449,37200700066053CUPNCTL
450,GIC881162
451,GIN056334
452,37200900084184CUCOCTL
453,37200900074733CLCLSC
454,372007000551250CUPNNC
455,37200900100355CLFRCTL
456,GIC852762
457,GIC847788
458,200900094735CUNPCTL
459,3720090092286CUNPCTL
460,37200800098042CUBCCTL
461,37200900098560CUDFCTL
462,37200800099342CUCRCTL
463,GIN044161
464,37200800090621CUDFCTL
465,37200800099078CUDFCTL
466,GIC817020
467,37200800081583CUWTCTL
468,37200800090769CUBTCTL
469,37200800090769CUBTCTL
470,37200900077482CLORSC
471,3720900090597CLCLCTL
472,37200800091766CUBTCTL
473,PN29963
474,37200900084731CUBCCTL
475,37200900086698CUHRCTL
476,37200900075326CLMCSC
477,37200900084194CUCOCTL
478,37200963833CUNPEC
479,37200800100280CUNPEC
480,37200800052285CUDFNC
481,37200800086347CUDFCTI
482,37200700067254CUPOCTL
483,37200800076297CUNPCTL
484,37200800097817CUMCCTL
485,37200800089878CUCOCTL
486,372007000551250CUPNNC
487,37200800100280CUNPEC
488,37200900088687CUOECTL
489,37200973921CUBTSC
490,370200800100879CUDFNC
491,37200900084737
492,37200900083495CUNPCTL
493,37200700075329CUBCCTL
494,37200800076811CUPNCTL
495,37200700075749CUBCCTL
496,37200700069346CUMCCTL
