,San Francisco
0,CGC20587266
1,CCH20582928
2,CGC20585449
3,CGC20585685
4,1100108870
5,CGC20582525
6,CCH20582670
7,CGC19581862
8,CGC20582525
9,CGC18564294
10,CGC18564294
11,CGC18568444
12,CGC18567602
13,CGC19577544
14,CGC18571968
15,CGC18569540
16,CGC18571968
17,CGC18571968
18,CGC18570242
19,CGC19574965
20,CGC18570435
21,CGC18565596
22,CGC18571512
23,CGC19573412
24,CGC195774177
25,CGC19573611
26,CGC18570749
27,CGC16555317
28,CGC18570242
29,CGC17561848
30,CGC-18-569634
31,CGC-18-568755
32,CGC-18-568750
33,18566837
34,18566837
35,CGGC18568488
36,CUD17660594
37,CGC18566812
38,CGC18563576
39,CGC18564521
40,CGC18566224
41,CGC18564521
42,CGC17563438
43,CGC18564467
44,CGC18564521
45,CGC18564460
46,CGC-18-564467
47,CGC17563438
48,CGC17562588
49,CGC17562305
50,CGC17560887
51,CGC15548210
52,CGC16553493
53,CGC16549924
54,CGC17562305
55,CGGC17559458
56,CGC17559458
57,CGC17558567
58,CGC16551654
59,CGC16554684
60,CGC15548180
61,CGC17558214
62,CGC17556475
63,CGC15548180
64,CGC16555927
65,CGC16555323
66,CGC16555927
67,CGC17556475
68,CGC17556489
69,CGC16553493
70,CGC17556819
71,CGC17556489
72,16CGC551721
73,CGC16553335
74,CGC14541389
75,CSC16552254
76,CGC165551376
77,CUD16655395
78,CGC13534398
79,CGGC16551745
80,CGC16551654
81,CGC14540169
82,CGC16552098
83,CGC14542554
84,CGC16550284
85,CGC15543809
86,CGC14542554
87,CUD15654233
88,CGCD15548920
89,CGC15547200
90,14CV04329WHO
91,CGC15547024
92,CGC15549608
93,CGC15546172
94,CGC15543604
95,CGC15547316
96,CGC15545368
97,CGC15547698
98,CGC15549576
99,CGC15548697
100,CGC15545959
101,CGC15546718
102,CGC13530730
103,CGC15548503
104,PES09293019
105,CGC15546242
106,CGC15546624
107,CGC14543121
108,CGC14538560
109,CV144329WHO
110,CCH14575770
111,C1400617MEJ
112,CGC15546172
113,CGC14538507
114,CGC14542549
115,CGC15543620
116,CGC14540228
117,CGC14542658
118,CGC14542658
119,CGC13536307
120,315CV0798HSG
121,CGGC15544367
122,CGC15543604
123,C1501401LB
124,CGC14542704
125,CGC14539857
126,CGC14539451
127,CGC14537725
128,CGC13531554
129,CGC10506611
130,CGC14538041
131,CGC14536804
132,CGC13534398
133,CGC14536672
134,CGC14536968
135,313CV05679 NC
136,CGC13533602
137,CGC13531997
138,CV1301842
139,CGC13528871
140,CGC13534550
141,CGC13534447
142,CGC13533961
143,CGC13533772
144,CGC13533602
145,CGC13528538
146,CGC13533307
147,CV1301842
148,CGC13532837
149,CGC13528491
150,CGC13531292
151,CGC13531667
152,CV1301842
153,CGC12520094
154,CGC12523035
155,CGC13530123
156,CGC13529289
157,CGC13531280
158,CGC13529667
159,CGC13532002
160,C1301668 DMR
161,CGC13531453
162,CGC10502063
163,CGC12524546
164,CGC12517439
165,CGC13528884
166,CGC10505599
167,CGC13529357
168,CGC12522868
