,San Joaquin
0,STK-CV-UBC-2019-0011587
1,STKCVUD20203078
2,STKCVUCC20203081
3,STKCVUOE20198253
4,STKCVUBC20190011587
5,STKCVUOC20180013550
6,STK-CV-UNPI-2018-0005509
7,STKCV11020183616
8,STKCVUMCP201711550
9,STKCVUNPI20170014094
10,STKUD201710439
11,STK-CV-UD201710439
12,STK-CV-UD10439
13,STK-CV-UNP120179486
14,STKCVUBT20167900
15,STKCV20176270
16,STKCVUD20172079
17,STKCVUPI20171424
18,STKCVUOE20173714
19,STKCKUPI20171424
20,STKCVUPI20170001424
21,39201400306079CUPTSTK
22,39201400316421CUBCSTK
23,39201400317820CUFRSTK
24,39201500326070CUDFSTK
25,39201400314604CUWTSTK
26,39201400315988CUORSTK
27,39201400317820CUFRSTK
28,39201400319803CUFRSTK
29,39201400319803
30,39201400319803CUFRSTK
31,39201400315785CUPOSTK
32,39201400310166CUBCSTK
33,39201300299447 CUPOSTK
34,39201100258341 CUORSTK
35,39201200288571 CUMMSTK
36,39201000236848 CUPOSTK
37,39201200278807 CUMCSTK
38,39201200269271 CUCOSTK
39,39201200288571 CUMMSTK
40,39201200279070 CUWMSTK
41,39201200279070CUWMSTK
42,39201000243196CUHRSTK
43,39201000243196CUHRSTK
44,39201100261586CUBCSTK
45,39201100270436CUORSTK
46,39201000253803CUWMSTK
47,39201000245197CUWMSTK
48,39201100264027CUPOSTK
49,39201100262536CUDFSTK
50,39201000242081CUMMSTK
51,39101000236848CUPOSTK
52,39200900221920CUDFSTK
53,39200900210379CUPOSTK
54,39200800181824CLDFSTK
55,39200800181824CIDFSTK
56,39200800185771CUBCSTK
57,CV030845
58,CV031268
59,CV031268
60,CV031268
61,CV030131
62,CV028160
63,CV021880
64,CV021664
65,CV020355
66,CV020355
67,CV017819
68,CV015188
69,CV014903
70,CV014272
71,CV010828
72,CV010099
