,Santa Barbara
0,18CV05349
1,19CV06596
2,19CV04835
3,19CV04902
4,19CV03871
5,19CV03869
6,19CV01875
7,18CV04974
8,18CV04543
9,17CV04974
10,17CV04974
11,17CV04863
12,17CV03869
13,1440443
14,15CV00038
15,15CV01126
16,16CV00226
17,15CV01734
18,1468497
19,1485803
20,1467044
21,1467044
22,1439844
23,1439844
24,1438408
25,1456844
26,1416427
27,1390987
28,1414528
29,1385725
30,1393990
31,1402345
32,1402345
33,"1339241, B242390 related to 1341217"
34,1339241
35,1382450
36,1304093
37,NC056105
38,1303457
39,1303457
40,1372611
41,1341942
42,1339241related to 1341217
43,1320241
44,1342912
45,1337007
46,1231825
47,1272566
48,1301247
49,I185887
50,1340540
51,1272566
52,1002624
53,1132299
54,1301514
55,13433
56,1267994
57,1272421
58,1247264
59,1243675
60,01245391
61,1245391
62,01244270
63,01232680
64,1231825
65,1242550
66,1231825
67,01242924
68,1243675
69,01244081
70,01232680
71,1220968
72,1228619
73,1186848
74,1220968
75,1220025
76,1173193
77,01159761
78,1173193
79,1173193
80,1131735
81,1170420
82,01131120
83,1156150
84,01130847
85,01111147
86,1092821
87,01110911
88,1126113
89,01110608
90,01110608
91,01096831
92,1070263
93,01064837
94,01043242
95,1040089
96,1040089
97,223242
98,01003649
99,1003649
100,233554
101,233387
102,23
103,01001300
