,Santa Clara
0,20CV367516
1,20CV367955
2,19CV344983
3,20CV363266
4,18CV325319
5,20CV367955
6,20CV367955
7,19CV345846
8,20CV367433
9,19CV345846
10,19CV359044
11,19CV345846
12,17CV319705
13,20CV361372
14,19CV345846
15,10CH008844
16,19CH008843
17,19CV358852
18,19SC080274
19,19CV353474
20,19CH008777
21,18CV339157
22,19CV347686
23,19CV3339887
24,19CV346827
25,19CV345499
26,19CV344971
27,18CV327978/18CV333482
28,17CV314253
29,18CV336725
30,19CV343172
31,19CV343172
32,17CV308093 (Opposition)
33,19CV344110
34,18CV332315
35,18CV337237
36,18CV336057
37,18CV332169
38,17CV308093
39,18CV33764
40,18CV336922
41,18CV334547
42,18CV334547
43,16CV300206
44,17CV316504
45,118CV325918
46,17CV312553
47,17CV308733
48,17CV320887
49,16CV301833
50,17CV315739
51,16CV304484
52,20131CV256794
53,16CV304484
54,113CV256794
55,17CV320108
56,17CV315201
57,114CV266849
58,117CV315201
59,114CV266849
60,17PR180759
61,17CV305788
62,16CV301833
63,17CV312165
64,17CV305788
65,17CV307335
66,17CV307335
67,16CV295051
68,16CV300934
69,17CV307050
70,11CV2811815
71,17CV305663
72,16CV301653
73,16CV301280
74,16CV301236
75,16CV295051
76,110CV167289
77,16CV296727
78,2016CV300206
79,110CV167289
80,16CV298321
81,115CV275568
82,16CV292980
83,114CV264874
84,114CV267529
85,115CV275719
86,114CV271650
87,116CV294717
88,16CV295158
89,114CV271450
90,115CV278545
91,16CV290875
92,CIV113CV256794
93,116CV290875
94,115CV281545
95,115CV281059
96,114CV267855
97,115CV278545
98,115CV286110
99,15CV288739
100,115CV289118
101,15CV289466
102,115CV284013
103,115CV282404
104,115CV279005
105,20151CV282916
106,115CV284745
107,114CH005460
108,115CV278500
109,115CV280064
110,112CV216004
111,114CV267529
112,114CV274199
113,115CV276809
114,114CV264874
115,113CV252824
116,115CV278108
117,113CV254096
118,CV261786
119,114CV259581
120,114CV258848
121,114CV258588
122,113CV257974
123,113CV253688
124,112CV216004
125,113CV253876
126,113CV255013
127,11cv191774
128,113CV253870
129,113CV246793
130,JCCP 4589-4 actions and cross-complaint: 109CV143298; 109CV133292; 109CV137828; 37200900085407 CUBCCTL
131,113CV250570
132,112cv233197
133,113CV244982
134,113CV242940
135,JCCP4589 (consolidated cases)
136,112CV216004
137,112CV238520
138,113cv244982
139,113cv241766
140,112CV220172
141,512cv04759 PSG
142,112CV235008
143,CV112CV230665
144,111CV203163
145,111CV211316
146,112CV233118
147,112CV221911
148,112CV238185
149,112CV224688
150,112CV224281
151,112 CV 231809
152,112CV232187
153,112CH004435; 112CH004436; 112CH004437
154,112CV231172
155,111CV213485
156,111CV201246
157,111CV207221
158,111CV207221
159,112CV226399
160,112CV218490
161,112CV224688
162,112CV22970
163,112CV222868
164,112CV223189
165,112CV226441
166,112CV218315
167,112CV218315
168,110CV180214
169,110CV174654
170,110CV174654
171,112CV215896
172,111CV214943
173,111CV210782
174,111CV215279
175,112CV218315
176,110cv189197
177,111CV212213
178,111CV214678
179,111CV210782
180,111CV210348
181,109CV152874
182,111CV205502
183,109CV153447
184,110cv189197
185,111CV208071
186,111CV205502
187,111CV208047
188,109CV153447
189,109CV153447
190,110CV178550
191,110CV171476
192,109CV159452
193,110cv173203
194,110CV181476
195,110CV165516
196,109CV142624
197,110CV181486
198,110CV186039
199,109CV158543
200,110CV180551
201,109CV153146
202,109CV158895
203,109CV158895
204,110CV174781
205,110CV164920
206,110CV169645
207,110CV165203
208,105CV042734
209,106CV068155
210,110CIV16119
211,109CV157190
212,110CV160744
213,109CV157484
214,109CV158862
