,Santa Cruz
0,19CV02950
1,19CV01471
2,18CV02355
3,19CV02356
4,18CV02004
5,18CV02004
6,18CV03316
7,18CV00973
8,17CV02133
9,17CV02209
10,17CV02133
11,17CV00985
12,16CV01196
13,15CV00337
14,CV180462
15,15CV00143
16,FL033048
17,FL033048
18,CV178389
19,CISCV176366
20,CV176939
21,CV174521
22,CV172811
23,CV167563
24,CV169200
25,CV167563
26,CV1598454
27,CV161770
28,CV158072
29,CV158919
30,CV158919
31,CV157296
32,CV152219
33,CV152657
34,CV149933
35,CV150664
36,CV149607
37,CV146507
38,CV139037
39,CV144045
40,CV139947
41,CV139037
